Time,Member 1,Member 2,Member 3,Member 4,Member 5,Member 6,Member 7,Member 8,Member 9,Member 10,Member 11,Member 12,Member 13,Member 14,Member 15,Member 16,Member 17,Member 18,Member 19,Member 20,Member 21,Member 22,Member 23,Member 24,Member 25,Member 26,Member 27,Member 28,Member 29,Member 30
1,,X,X,,X,X,X,X,X,,,X,X,X,,X,X,,,X,,X,X,,,X,X,X,X,X
2,X,X,,X,X,X,X,,X,X,,X,X,X,X,,,X,X,X,X,X,,,X,,X,,,
3,,,X,X,X,X,X,,,X,,X,X,,X,,X,X,X,X,X,X,X,X,,,,X,,X
4,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,X,
6,X,X,X,X,,X,X,,X,,,X,X,X,X,X,X,,X,,X,,,X,,,X,X,X,
7,,X,X,X,,,X,X,X,X,X,,X,X,X,X,,,X,X,X,X,,X,,X,X,,X,
8,,X,X,X,X,,,,X,X,,X,,X,X,X,X,X,X,,X,X,,,X,,X,X,X,X
9,X,X,,X,X,,X,,X,X,X,,X,,X,X,,X,X,X,X,,,,X,,X,X,X,
11,X,X,X,,X,X,,,X,X,X,X,X,X,X,,,X,X,X,,,X,X,X,X,,,,X
12,X,X,X,,X,X,X,,,,X,X,,X,,X,,X,X,X,X,X,,X,,X,,X,,X
13,,,X,,X,X,,X,X,X,,X,,X,X,X,X,X,,X,,X,X,X,X,,,X,,X
16,X,,,X,X,,X,X,X,X,,X,X,X,,,X,X,X,,X,,X,X,X,X,,,X,X
17,X,,X,X,X,,,,X,X,,X,,X,,X,X,X,,X,X,X,,X,X,X,,X,,X
18,X,,X,X,X,,,X,X,,,X,X,,X,X,X,X,X,X,,,X,,X,X,,,X,X
19,X,,,X,,,,X,X,X,,,X,,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X
21,X,,,X,,,,X,X,,X,,X,,,X,X,,,X,X,X,X,X,X,X,X,X,X,X
22,X,X,X,X,,,,X,X,X,X,,,X,,,,X,,,X,X,X,X,X,,X,X,X,X
24,X,X,,X,,X,,X,,X,X,,,X,X,X,X,X,X,X,X,,X,X,X,,,,X,
25,X,,,,,X,X,,X,,X,X,,X,X,X,X,X,,X,X,X,,,X,X,X,X,,X
26,,X,X,,X,,X,X,X,,X,X,,,,,X,X,X,X,X,,,X,X,X,X,,X,X
27,X,X,X,X,X,X,X,,X,X,X,X,,,,,X,X,X,X,,,X,,,,X,X,X,X
28,,X,X,X,X,X,X,,,,X,X,,X,X,,X,X,,,,X,,X,X,X,X,X,X,
30,,X,X,,,X,X,X,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,X,X,,,
31,X,X,X,X,,,X,,,,X,X,X,,X,X,,,X,X,X,X,,X,X,X,X,X,,
34,X,X,X,,X,X,,X,,X,X,X,X,X,,,,X,,,,X,X,X,X,,X,X,X,